UBE2C	ENSG00000175063	202954_at
CDK6	ENSG00000105810	207143_at
PLA2G4A	ENSG00000116711	210145_at
EGR1	ENSG00000120738	201693_s_at
DNM1L	ENSG00000087470	203105_s_at
ISOC1	ENSG00000066583	218170_at
TXNDC9	ENSG00000115514	211758_x_at
GNPDA1	ENSG00000113552	202382_s_at
PCK2	ENSG00000100889	202847_at
EZH2	ENSG00000106462	203358_s_at
DCUN1D4	ENSG00000109184	212851_at
XPO7	ENSG00000130227	212166_at
KIAA0100	ENSG00000007202	201729_s_at
MAN2B1	ENSG00000104774	209166_s_at
RB1	ENSG00000139687	203132_at
DDR1	ENSG00000204580	1007_s_at
TMEM50A	ENSG00000183726	217766_s_at
BACE2	ENSG00000182240	217867_x_at
ME2	ENSG00000082212	210153_s_at
EXT1	ENSG00000182197	201995_at
MYBL2	ENSG00000101057	201710_at
TCEA2	ENSG00000171703	203919_at
EDEM1	ENSG00000134109	203279_at
GRN	ENSG00000030582	200678_x_at
PGAM1	ENSG00000171314	200886_s_at
TJP1	ENSG00000104067	202011_at
RAB4A	ENSG00000168118	203582_s_at
UFM1	ENSG00000120686	218050_at
KEAP1	ENSG00000079999	202417_at
SENP6	ENSG00000112701	202318_s_at
SPAG4	ENSG00000061656	219888_at
CLTC	ENSG00000141367	200614_at
CALM3	ENSG00000160014	200622_x_at
CTSD	ENSG00000117984	200766_at
BZW2	ENSG00000136261	217809_at
MYO10	ENSG00000145555	201976_s_at
ARHGAP1	ENSG00000175220	202117_at
SLC11A2	ENSG00000110911	203123_s_at
PPARG	ENSG00000132170	208510_s_at
ARFIP2	ENSG00000132254	202109_at
MYC	ENSG00000136997	202431_s_at
CSK	ENSG00000103653	202329_at
SRC	ENSG00000197122	213324_at
PXN	ENSG00000089159	201087_at
TICAM1	ENSG00000127666	213191_at
PLOD3	ENSG00000106397	202185_at
CSNK2A2	ENSG00000070770	203575_at
NFKBIE	ENSG00000146232	203927_at
TXNL4B	ENSG00000140830	218794_s_at
CTNND1	ENSG00000198561	208407_s_at
PHGDH	ENSG00000092621	201397_at
AKT1	ENSG00000142208	207163_s_at
FZD7	ENSG00000155760	203705_s_at
RALGDS	ENSG00000160271	209050_s_at
GRWD1	ENSG00000105447	221549_at
BPHL	ENSG00000137274	205750_at
MNAT1	ENSG00000020426	203565_s_at
COG7	ENSG00000168434	213190_at
CDCA4	ENSG00000170779	218399_s_at
DNAJB1	ENSG00000132002	200666_s_at
SPDEF	ENSG00000124664	214404_x_at
FBXO21	ENSG00000135108	212231_at
NCAPD2	ENSG00000010292	201774_s_at
TNFRSF21	ENSG00000146072	218856_at
BMP4	ENSG00000125378	211518_s_at
PRR7	ENSG00000131188	219742_at
CASP7	ENSG00000165806	207181_s_at
TCEAL4	ENSG00000133142	202371_at
SKIV2L	ENSG00000204351	203727_at
TFAP2A	ENSG00000137203	204654_s_at
PTK2	ENSG00000169398	208820_at
DNMT1	ENSG00000130816	201697_s_at
MCOLN1	ENSG00000090674	219952_s_at
DHX29	ENSG00000067248	212648_at
TIMM9	ENSG00000100575	218316_at
NPC1	ENSG00000141458	202679_at
UBE2L6	ENSG00000156587	201649_at
FAS	ENSG00000026103	204781_s_at
CDK4	ENSG00000135446	202246_s_at
KCTD5	ENSG00000167977	218474_s_at
EAPP	ENSG00000129518	202623_at
PDIA5	ENSG00000065485	203857_s_at
KDELR2	ENSG00000136240	200698_at
PMAIP1	ENSG00000141682	204285_s_at
RPA3	ENSG00000106399	209507_at
LGALS8	ENSG00000116977	208936_x_at
SPP1	ENSG00000118785	209875_s_at
KAT6A	ENSG00000083168	202423_at
FGFR4	ENSG00000160867	204579_at
INPP4B	ENSG00000109452	205376_at
SCAND1	ENSG00000171222	218206_x_at
ABCF1	ENSG00000204574	200045_at
OXCT1	ENSG00000083720	202780_at
NOS3	ENSG00000164867	205581_s_at
DNMT3A	ENSG00000119772	218457_s_at
RPA2	ENSG00000117748	201756_at
RALB	ENSG00000144118	202100_at
GPER	ENSG00000164850	210640_s_at
SYPL1	ENSG00000008282	201260_s_at
IARS2	ENSG00000067704	217900_at
CENPE	ENSG00000138778	205046_at
ATF1	ENSG00000123268	222103_at
BNIP3L	ENSG00000104765	221478_at
COG2	ENSG00000135775	203073_at
STAT5B	ENSG00000173757	205026_at
IDE	ENSG00000119912	217496_s_at
LRRC41	ENSG00000132128	201932_at
NOL3	ENSG00000140939	221567_at
RNMT	ENSG00000101654	202683_s_at
SH3BP5	ENSG00000131370	201811_x_at
ATMIN	ENSG00000166454	201855_s_at
CTTN	ENSG00000085733	214074_s_at
WDR61	ENSG00000140395	221531_at
XBP1	ENSG00000100219	200670_at
EIF4G1	ENSG00000114867	208624_s_at
KCNK1	ENSG00000135750	204679_at
SPTLC2	ENSG00000100596	203127_s_at
LIPA	ENSG00000107798	201847_at
PSRC1	ENSG00000134222	201896_s_at
ZNF589	ENSG00000164048	219968_at
STX4	ENSG00000103496	203530_s_at
ELAC2	ENSG00000006744	201767_s_at
NOSIP	ENSG00000142546	217950_at
DNTTIP2	ENSG00000067334	202776_at
CDKN1B	ENSG00000111276	209112_at
TMEM97	ENSG00000109084	212281_s_at
ERO1L	ENSG00000197930	218498_s_at
HTATSF1	ENSG00000102241	202602_s_at
DYRK3	ENSG00000143479	210151_s_at
SLC37A4	ENSG00000137700	202830_s_at
FAT1	ENSG00000083857	201579_at
ACLY	ENSG00000131473	210337_s_at
CRKL	ENSG00000099942	212180_at
XPNPEP1	ENSG00000108039	209045_at
COPB2	ENSG00000184432	201098_at
ECD	ENSG00000122882	203013_at
CRYZ	ENSG00000116791	202950_at
LAP3	ENSG00000002549	217933_s_at
MOK	ENSG00000080823	205130_at
ALDH7A1	ENSG00000164904	208950_s_at
B3GNT1	ENSG00000174684	203188_at
TOMM70A	ENSG00000154174	201519_at
PPIE	ENSG00000084072	202494_at
TOMM34	ENSG00000025772	201870_at
EPRS	ENSG00000136628	200843_s_at
RAB31	ENSG00000168461	217763_s_at
SFN	ENSG00000175793	209260_at
KAT6B	ENSG00000156650	212462_at
PAX8	ENSG00000125618	121_at
AKAP8L	ENSG00000011243	218064_s_at
GABPB1	ENSG00000104064	206173_x_at
NR3C1	ENSG00000113580	216321_s_at
PCCB	ENSG00000114054	212694_s_at
STXBP1	ENSG00000136854	202260_s_at
CFLAR	ENSG00000003402	209939_x_at
ST6GALNAC2	ENSG00000070731	204542_at
LSM5	ENSG00000106355	211747_s_at
IGFBP3	ENSG00000146674	212143_s_at
RAB21	ENSG00000080371	203885_at
MPZL1	ENSG00000197965	201875_s_at
SLC5A6	ENSG00000138074	204087_s_at
CORO1A	ENSG00000102879	209083_at
PARP2	ENSG00000129484	214086_s_at
SPAG7	ENSG00000091640	200053_at
GTF2A2	ENSG00000140307	202678_at
RAB27A	ENSG00000069974	209515_s_at
UBE2A	ENSG00000077721	201899_s_at
PAFAH1B1	ENSG00000007168	200816_s_at
FBXL12	ENSG00000127452	220127_s_at
RSU1	ENSG00000148484	201980_s_at
TSTA3	ENSG00000104522	36936_at
COG4	ENSG00000103051	212189_s_at
NCK2	ENSG00000071051	203315_at
PAN2	ENSG00000135473	203117_s_at
CCDC92	ENSG00000119242	218175_at
CDK5R1	ENSG00000176749	204995_at
PRR15L	ENSG00000167183	219127_at
HLA-DMA	ENSG00000204257	217478_s_at
ZFP36	ENSG00000128016	201531_at
TP53	ENSG00000141510	201746_at
CASK	ENSG00000147044	207620_s_at
P4HA2	ENSG00000072682	202733_at
IER3	ENSG00000137331	201631_s_at
CCNE2	ENSG00000175305	205034_at
PEX11A	ENSG00000166821	205161_s_at
ARHGEF12	ENSG00000196914	201334_s_at
SPTAN1	ENSG00000197694	208611_s_at
PRPF4	ENSG00000136875	209161_at
MAST2	ENSG00000086015	215903_s_at
MRPS2	ENSG00000122140	218001_at
NUDCD3	ENSG00000015676	201270_x_at
E2F2	ENSG00000007968	207042_at
RAE1	ENSG00000101146	211318_s_at
PMM2	ENSG00000140650	203201_at
CLIC4	ENSG00000169504	201560_at
UTP14A	ENSG00000156697	221514_at
NCOA3	ENSG00000124151	207700_s_at
TSKU	ENSG00000182704	218245_at
RELB	ENSG00000104856	205205_at
STX1A	ENSG00000106089	204729_s_at
ZW10	ENSG00000086827	204812_at
HOMER2	ENSG00000103942	217080_s_at
GPC1	ENSG00000063660	202756_s_at
PKIG	ENSG00000168734	202732_at
PLA2G15	ENSG00000103066	204458_at
INTS3	ENSG00000143624	202809_s_at
SLC35A3	ENSG00000117620	206770_s_at
EBNA1BP2	ENSG00000117395	201323_at
PAPD7	ENSG00000112941	202466_at
LSM6	ENSG00000164167	205036_at
MFSD10	ENSG00000109736	209215_at
GALE	ENSG00000117308	202528_at
CPSF4	ENSG00000160917	206688_s_at
DNAJB6	ENSG00000105993	209015_s_at
HK1	ENSG00000156515	200697_at
TIMP2	ENSG00000035862	203167_at
STAMBP	ENSG00000124356	202811_at
CEBPZ	ENSG00000115816	203341_at
EVL	ENSG00000196405	217838_s_at
ANKRD10	ENSG00000088448	218093_s_at
ELOVL6	ENSG00000170522	204256_at
SCRN1	ENSG00000136193	201462_at
ATP11B	ENSG00000058063	212536_at
TSPAN3	ENSG00000140391	200972_at
CEBPD	ENSG00000221869	203973_s_at
CBR1	ENSG00000159228	209213_at
NIT1	ENSG00000158793	202891_at
NCK1	ENSG00000158092	204725_s_at
CHEK1	ENSG00000149554	205393_s_at
KIF2C	ENSG00000142945	209408_at
EGF	ENSG00000138798	206254_at
ZNF131	ENSG00000172262	214741_at
FUT1	ENSG00000174951	206109_at
TLK2	ENSG00000146872	212997_s_at
STMN1	ENSG00000117632	200783_s_at
IFNAR1	ENSG00000142166	204191_at
KIAA1279	ENSG00000198954	212453_at
LRP10	ENSG00000197324	201412_at
KDM3A	ENSG00000115548	212689_s_at
CDC45	ENSG00000093009	204126_s_at
FAM69A	ENSG00000154511	213689_x_at
CASP3	ENSG00000164305	202763_at
TLE1	ENSG00000196781	203221_at
CYTH1	ENSG00000108669	202880_s_at
PAF1	ENSG00000006712	202093_s_at
DHDDS	ENSG00000117682	218547_at
HAT1	ENSG00000128708	203138_at
AMDHD2	ENSG00000162066	219082_at
CSRP1	ENSG00000159176	200621_at
KLHL9	ENSG00000198642	213233_s_at
ZNF586	ENSG00000083828	219711_at
NISCH	ENSG00000010322	201591_s_at
MICALL1	ENSG00000100139	221779_at
CXCR4	ENSG00000121966	211919_s_at
CEP57	ENSG00000166037	203494_s_at
HERC6	ENSG00000138642	219352_at
FAIM	ENSG00000158234	220643_s_at
ALDOA	ENSG00000149925	200966_x_at
UBE3B	ENSG00000151148	212403_at
DDX42	ENSG00000198231	201788_at
RAD9A	ENSG00000172613	204828_at
WIPF2	ENSG00000171475	212051_at
SNCA	ENSG00000145335	204466_s_at
NRIP1	ENSG00000180530	202599_s_at
IQGAP1	ENSG00000140575	200791_s_at
LYRM1	ENSG00000102897	203897_at
PRKX	ENSG00000183943	204061_at
CRELD2	ENSG00000184164	218358_at
TCFL5	ENSG00000101190	204849_at
POP4	ENSG00000105171	202868_s_at
